station_key,prec_no,prefecture,kind,daily_page,block_no,jma_name,kana,latitude,longitude,elevation_m,has_precipitation,has_wind,has_temperature,has_sunshine,has_snow,has_humidity,is_current,end_date,note_1,note_2,note_3,note_4,note_5
prec11_a0002,11,宗谷地方,a,daily_a1,0002,沓形,クツガタ,45.178333333333335,141.13833333333332,14,True,True,True,False,False,True,True,,,,,,
prec11_a0003,11,宗谷地方,a,daily_a1,0003,浜頓別,ハマトンベツ,45.125,142.35,18,True,True,True,False,False,True,True,,,,,,
prec11_a0005,11,宗谷地方,a,daily_a1,0005,歌登,ウタノボリ,44.84166666666667,142.48,14,True,True,True,False,True,True,True,,,,,,
prec11_a1051,11,宗谷地方,a,daily_a1,1051,中頓別,ナカトンベツ,44.965,142.28,25,True,True,True,False,True,True,True,,,,,,
prec11_a1054,11,宗谷地方,a,daily_a1,1054,豊富,トヨトミ,45.10166666666667,141.78,14,True,True,True,False,True,True,True,,,,,,
prec11_a1203,11,宗谷地方,a,daily_a1,1203,沼川,ヌマカワ,45.248333333333335,141.85166666666666,23,True,True,True,False,True,True,True,,,,,,
prec11_a1284,11,宗谷地方,a,daily_a1,1284,宗谷岬,ソウヤミサキ,45.52,141.935,26,True,True,True,False,False,True,True,,,,,,
prec11_a1285,11,宗谷地方,a,daily_a1,1285,浜鬼志別,ハマオニシベツ,45.335,142.17,13,True,True,True,False,True,True,True,,,,,,
prec11_a1512,11,宗谷地方,a,daily_a1,1512,本泊,モトドマリ,45.24166666666667,141.18666666666667,30,True,True,True,False,False,False,True,,,,,,
prec11_a1528,11,宗谷地方,a,daily_a1,1528,声問,コエトイ,45.403333333333336,141.80166666666668,8,True,True,True,False,True,False,True,,,,,,
prec11_a1546,11,宗谷地方,a,daily_a1,1546,礼文,レブン,45.305,141.045,65,True,True,True,False,False,True,True,,,,,,
prec11_s47401,11,宗谷地方,s,daily_s1,47401,稚内,ワツカナイ,45.415,141.67833333333334,2.8,True,True,True,True,True,True,True,,,,,,
prec11_s47402,11,宗谷地方,s,daily_s1,47402,北見枝幸,キタミエサシ,44.94,142.585,6.7,True,True,True,True,True,True,True,,,,,,
prec12_a0006,12,上川地方,a,daily_a1,0006,美深,ビフカ,44.48,142.34166666666667,77,True,True,True,False,True,True,True,,,,,,
prec12_a0008,12,上川地方,a,daily_a1,0008,名寄,ナヨロ,44.37,142.45666666666668,89,True,True,True,False,True,True,True,,,,,,
prec12_a0010,12,上川地方,a,daily_a1,0010,下川,シモカワ,44.295,142.63666666666666,143,True,True,True,False,True,True,True,,,,,,
prec12_a0011,12,上川地方,a,daily_a1,0011,士別,シベツ,44.18666666666667,142.41666666666666,135,True,True,True,False,False,True,True,,,,,,
prec12_a0015,12,上川地方,a,daily_a1,0015,上川,カミカワ,43.846666666666664,142.75333333333333,324,True,True,True,False,True,True,True,,,,,,
prec12_a0021,12,上川地方,a,daily_a1,0021,富良野,フラノ,43.333333333333336,142.4,174,True,True,True,False,True,True,True,,,,,,
prec12_a1047,12,上川地方,a,daily_a1,1047,朝日,アサヒ,44.11833333333333,142.595,225,True,True,True,False,False,True,True,,,,,,
prec12_a1048,12,上川地方,a,daily_a1,1048,比布,ピップ,43.87,142.47,164,True,True,True,False,False,True,True,,,,,,
prec12_a1052,12,上川地方,a,daily_a1,1052,美瑛,ビエイ,43.58833333333333,142.49333333333334,250,True,True,True,False,True,True,True,,,,,,
prec12_a1053,12,上川地方,a,daily_a1,1053,幌加内,ホロカナイ,44.01,142.16,159,True,True,True,False,True,True,True,,,,,,
prec12_a1055,12,上川地方,a,daily_a1,1055,和寒,ワッサム,44.028333333333336,142.41,150,True,True,True,False,True,True,True,,,,,,
prec12_a1184,12,上川地方,a,daily_a1,1184,東川,ヒガシカワ,43.70166666666667,142.50833333333333,215,True,True,True,False,False,True,True,,,,,,
prec12_a1185,12,上川地方,a,daily_a1,1185,志比内,シビナイ,43.64333333333333,142.58166666666668,310,True,True,True,False,False,True,True,,2001年12月2日までの地点名「忠別」,,,,
prec12_a1188,12,上川地方,a,daily_a1,1188,幾寅,イクトラ,43.16833333333334,142.56833333333333,350,True,True,True,False,True,True,True,,,,,,
prec12_a1189,12,上川地方,a,daily_a1,1189,占冠,シムカップ,42.97833333333333,142.395,332,True,True,True,False,True,True,True,,,,,,
prec12_a1190,12,上川地方,a,daily_a1,1190,上富良野,カミフラノ,43.455,142.465,220,True,True,True,False,False,True,True,,,,,,
prec12_a1191,12,上川地方,a,daily_a1,1191,江丹別,エタンベツ,43.87,142.26,140,True,True,True,False,False,True,True,,,,,,
prec12_a1197,12,上川地方,a,daily_a1,1197,音威子府,オトイネップ,44.72666666666667,142.265,40,True,True,True,False,True,True,True,,,,,,
prec12_a1201,12,上川地方,a,daily_a1,1201,中川,ナカガワ,44.82833333333333,142.07666666666665,22,True,True,True,False,False,True,True,,,,,,
prec12_a1279,12,上川地方,a,daily_a1,1279,朱鞠内,シュマリナイ,44.281666666666666,142.16166666666666,255,True,True,True,False,True,True,True,,,,,,
prec12_a1280,12,上川地方,a,daily_a1,1280,麓郷,ロクゴウ,43.30166666666667,142.52166666666668,315,True,True,True,False,False,True,True,,,,,,
prec12_a1458,12,上川地方,a,daily_a1,1458,東神楽,ヒガシカグラ,43.67,142.44666666666666,211,True,True,True,False,True,False,True,,,,,,
prec12_s47407,12,上川地方,s,daily_s1,47407,旭川,アサヒカワ,43.75666666666667,142.37166666666667,119.8,True,True,True,True,True,True,True,,,,,,
prec13_a0024,13,留萌地方,a,daily_a1,0024,天塩,テシオ,44.89333333333333,141.76166666666666,9,True,True,True,False,True,True,True,,,,,,
prec13_a0025,13,留萌地方,a,daily_a1,0025,遠別,エンベツ,44.718333333333334,141.80666666666667,7,True,True,True,False,False,True,True,,,,,,
prec13_a0028,13,留萌地方,a,daily_a1,0028,増毛,マシケ,43.848333333333336,141.51,20,True,True,True,False,False,True,True,,,,,,
prec13_a1213,13,留萌地方,a,daily_a1,1213,焼尻,ヤギシリ,44.428333333333335,141.42166666666665,38,True,True,True,False,False,True,True,,,,,,
prec13_a1216,13,留萌地方,a,daily_a1,1216,初山別,ショサンベツ,44.52333333333333,141.77,27,True,True,True,False,True,True,True,,,,,,
prec13_a1217,13,留萌地方,a,daily_a1,1217,達布,タップ,44.04833333333333,141.85666666666665,30,True,True,True,False,False,True,True,,,,,,
prec13_a1218,13,留萌地方,a,daily_a1,1218,幌糠,ホロヌカ,43.85333333333333,141.76,20,True,True,True,False,True,True,True,,,,,,
prec13_s47404,13,留萌地方,s,daily_s1,47404,羽幌,ハボロ,44.36333333333334,141.7,7.9,True,True,True,True,True,True,True,,,,,,
prec13_s47406,13,留萌地方,s,daily_s1,47406,留萌,ルモイ,43.945,141.63166666666666,23.6,True,True,True,True,True,True,True,,,,,,
prec14_a0030,14,石狩地方,a,daily_a1,0030,新篠津,シンシノツ,43.22,141.645,9,True,True,True,False,True,True,True,,,,,,
prec14_a0031,14,石狩地方,a,daily_a1,0031,山口,ヤマグチ,43.14833333333333,141.22166666666666,5,True,True,True,False,False,True,True,,,,,,
prec14_a0035,14,石狩地方,a,daily_a1,0035,恵庭島松,エニワシママツ,42.92666666666667,141.565,30,True,True,True,False,True,True,True,,,,,,
prec14_a0037,14,石狩地方,a,daily_a1,0037,支笏湖畔,シコツコハン,42.77166666666667,141.40666666666667,290,True,True,True,False,False,True,True,,,,,,
prec14_a1085,14,石狩地方,a,daily_a1,1085,石狩,イシカリ,43.193333333333335,141.37,5,True,True,True,False,True,True,True,,,,,,
prec14_a1193,14,石狩地方,a,daily_a1,1193,浜益,ハママス,43.58166666666666,141.38666666666666,3,True,True,True,False,False,True,True,,,,,,
prec14_a1194,14,石狩地方,a,daily_a1,1194,厚田,アツタ,43.39666666666667,141.43666666666667,5,True,True,True,False,True,True,True,,,,,,
prec14_a1459,14,石狩地方,a,daily_a1,1459,千歳,チトセ,42.775,141.69166666666666,22,True,True,True,False,True,False,True,,,,,,
prec14_a1507,14,石狩地方,a,daily_a1,1507,江別,エベツ,43.11,141.60166666666666,8,True,True,True,False,False,True,True,,,,,,
prec14_s47412,14,石狩地方,s,daily_s1,47412,札幌,サツポロ,43.06,141.32833333333335,17.4,True,True,True,True,True,True,True,,,,,,
prec15_a0038,15,空知地方,a,daily_a1,0038,石狩沼田,イシカリヌマタ,43.815,141.92666666666668,63,True,True,True,False,True,True,True,,,,,,
prec15_a0039,15,空知地方,a,daily_a1,0039,深川,フカガワ,43.718333333333334,142.07333333333332,55,True,True,True,False,True,True,True,,,,,,
prec15_a0041,15,空知地方,a,daily_a1,0041,滝川,タキカワ,43.57,141.93833333333333,50,True,True,True,False,True,True,True,,,,,,
prec15_a0043,15,空知地方,a,daily_a1,0043,芦別,アシベツ,43.52,142.19,91,True,True,True,False,True,True,True,,,,,,
prec15_a0044,15,空知地方,a,daily_a1,0044,美唄,ビバイ,43.36333333333334,141.82666666666665,16,True,True,True,False,True,True,True,,,,,,
