longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,20.00,20.00,,,,,,,2026-09-07
141.46900,45.87500,19.00,19.00,,,,,,,2026-09-07
141.53100,45.87500,19.00,19.00,,,,,,,2026-09-07
141.59400,45.87500,19.00,19.00,,,,,,,2026-09-07
141.65600,45.87500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.87500,18.00,18.00,,,,,,,2026-09-07
141.78100,45.87500,18.00,18.00,,,,,,,2026-09-07
141.84400,45.87500,18.00,18.00,,,,,,,2026-09-07
141.90600,45.87500,17.00,17.00,,,,,,,2026-09-07
141.96900,45.87500,17.00,17.00,,,,,,,2026-09-07
142.03100,45.87500,17.00,17.00,,,,,,,2026-09-07
142.09400,45.87500,16.00,16.00,,,,,,,2026-09-07
142.15600,45.87500,16.00,16.00,,,,,,,2026-09-07
142.21900,45.87500,16.00,16.00,,,,,,,2026-09-07
142.28100,45.87500,16.00,16.00,,,,,,,2026-09-07
142.34400,45.87500,16.00,16.00,,,,,,,2026-09-07
141.40600,45.82500,20.00,20.00,,,,,,,2026-09-07
141.46900,45.82500,20.00,20.00,,,,,,,2026-09-07
141.53100,45.82500,19.00,19.00,,,,,,,2026-09-07
141.59400,45.82500,19.00,19.00,,,,,,,2026-09-07
141.65600,45.82500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.82500,19.00,19.00,,,,,,,2026-09-07
141.78100,45.82500,18.00,18.00,,,,,,,2026-09-07
141.84400,45.82500,18.00,18.00,,,,,,,2026-09-07
141.90600,45.82500,18.00,18.00,,,,,,,2026-09-07
141.96900,45.82500,17.00,17.00,,,,,,,2026-09-07
142.03100,45.82500,17.00,17.00,,,,,,,2026-09-07
142.09400,45.82500,17.00,17.00,,,,,,,2026-09-07
142.15600,45.82500,17.00,17.00,,,,,,,2026-09-07
142.21900,45.82500,16.00,16.00,,,,,,,2026-09-07
142.28100,45.82500,16.00,16.00,,,,,,,2026-09-07
142.34400,45.82500,16.00,16.00,,,,,,,2026-09-07
141.40600,45.77500,20.00,20.00,,,,,,,2026-09-07
141.46900,45.77500,20.00,20.00,,,,,,,2026-09-07
141.53100,45.77500,19.00,19.00,,,,,,,2026-09-07
141.59400,45.77500,19.00,19.00,,,,,,,2026-09-07
141.65600,45.77500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.77500,19.00,19.00,,,,,,,2026-09-07
141.78100,45.77500,19.00,19.00,,,,,,,2026-09-07
141.84400,45.77500,18.00,18.00,,,,,,,2026-09-07
141.90600,45.77500,18.00,18.00,,,,,,,2026-09-07
141.96900,45.77500,18.00,18.00,,,,,,,2026-09-07
142.03100,45.77500,18.00,18.00,,,,,,,2026-09-07
142.09400,45.77500,17.00,17.00,,,,,,,2026-09-07
142.15600,45.77500,17.00,17.00,,,,,,,2026-09-07
142.21900,45.77500,17.00,17.00,,,,,,,2026-09-07
142.28100,45.77500,16.00,16.00,,,,,,,2026-09-07
142.34400,45.77500,16.00,16.00,,,,,,,2026-09-07
141.40600,45.72500,21.00,21.00,,,,,,,2026-09-07
141.46900,45.72500,20.00,20.00,,,,,,,2026-09-07
141.53100,45.72500,19.00,19.00,,,,,,,2026-09-07
141.59400,45.72500,19.00,19.00,,,,,,,2026-09-07
141.65600,45.72500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.72500,19.00,19.00,,,,,,,2026-09-07
141.78100,45.72500,19.00,19.00,,,,,,,2026-09-07
141.84400,45.72500,19.00,19.00,,,,,,,2026-09-07
141.90600,45.72500,19.00,19.00,,,,,,,2026-09-07
141.96900,45.72500,18.00,18.00,,,,,,,2026-09-07
142.03100,45.72500,18.00,18.00,,,,,,,2026-09-07
142.09400,45.72500,18.00,18.00,,,,,,,2026-09-07
142.15600,45.72500,18.00,18.00,,,,,,,2026-09-07
142.21900,45.72500,17.00,17.00,,,,,,,2026-09-07
142.28100,45.72500,17.00,17.00,,,,,,,2026-09-07
142.34400,45.72500,16.00,16.00,,,,,,,2026-09-07
140.65600,45.67500,21.00,21.00,,,,,,,2026-09-07
140.71900,45.67500,21.00,21.00,,,,,,,2026-09-07
140.78100,45.67500,21.00,21.00,,,,,,,2026-09-07
140.84400,45.67500,21.00,21.00,,,,,,,2026-09-07
140.90600,45.67500,21.00,21.00,,,,,,,2026-09-07
140.96900,45.67500,21.00,21.00,,,,,,,2026-09-07
141.03100,45.67500,21.00,21.00,,,,,,,2026-09-07
141.09400,45.67500,21.00,21.00,,,,,,,2026-09-07
141.15600,45.67500,21.00,21.00,,,,,,,2026-09-07
141.21900,45.67500,21.00,21.00,,,,,,,2026-09-07
141.28100,45.67500,21.00,21.00,,,,,,,2026-09-07
141.34400,45.67500,21.00,21.00,,,,,,,2026-09-07
141.40600,45.67500,21.00,21.00,,,,,,,2026-09-07
141.46900,45.67500,20.00,20.00,,,,,,,2026-09-07
141.53100,45.67500,20.00,20.00,,,,,,,2026-09-07
141.59400,45.67500,19.00,19.00,,,,,,,2026-09-07
141.65600,45.67500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.67500,19.00,19.00,,,,,,,2026-09-07
141.78100,45.67500,19.00,19.00,,,,,,,2026-09-07
141.84400,45.67500,19.00,19.00,,,,,,,2026-09-07
141.90600,45.67500,19.00,19.00,,,,,,,2026-09-07
141.96900,45.67500,19.00,19.00,,,,,,,2026-09-07
142.03100,45.67500,19.00,19.00,,,,,,,2026-09-07
142.09400,45.67500,18.00,18.00,,,,,,,2026-09-07
142.15600,45.67500,18.00,18.00,,,,,,,2026-09-07
142.21900,45.67500,18.00,18.00,,,,,,,2026-09-07
142.28100,45.67500,17.00,17.00,,,,,,,2026-09-07
142.34400,45.67500,17.00,17.00,,,,,,,2026-09-07
142.40600,45.67500,16.00,16.00,,,,,,,2026-09-07
142.46900,45.67500,16.00,16.00,,,,,,,2026-09-07
142.53100,45.67500,16.00,16.00,,,,,,,2026-09-07
142.59400,45.67500,16.00,16.00,,,,,,,2026-09-07
140.65600,45.62500,21.00,21.00,,,,,,,2026-09-07
140.71900,45.62500,21.00,21.00,,,,,,,2026-09-07
140.78100,45.62500,21.00,21.00,,,,,,,2026-09-07
140.84400,45.62500,21.00,21.00,,,,,,,2026-09-07
140.90600,45.62500,21.00,21.00,,,,,,,2026-09-07
140.96900,45.62500,21.00,21.00,,,,,,,2026-09-07
141.03100,45.62500,21.00,21.00,,,,,,,2026-09-07
141.09400,45.62500,21.00,21.00,,,,,,,2026-09-07
141.15600,45.62500,21.00,21.00,,,,,,,2026-09-07
141.21900,45.62500,21.00,21.00,,,,,,,2026-09-07
141.28100,45.62500,21.00,21.00,,,,,,,2026-09-07
141.34400,45.62500,21.00,21.00,,,,,,,2026-09-07
141.40600,45.62500,21.00,21.00,,,,,,,2026-09-07
141.46900,45.62500,21.00,21.00,,,,,,,2026-09-07
141.53100,45.62500,20.00,20.00,,,,,,,2026-09-07
141.59400,45.62500,20.00,20.00,,,,,,,2026-09-07
141.65600,45.62500,19.00,19.00,,,,,,,2026-09-07
141.71900,45.62500,19.00,19.00,,,,,,,2026-09-07
141.78100,45.62500,19.00,19.00,,,,,,,2026-09-07
141.84400,45.62500,19.00,19.00,,,,,,,2026-09-07
141.90600,45.62500,19.00,19.00,,,,,,,2026-09-07
141.96900,45.62500,19.00,19.00,,,,,,,2026-09-07
142.03100,45.62500,19.00,19.00,,,,,,,2026-09-07
142.09400,45.62500,19.00,19.00,,,,,,,2026-09-07
142.15600,45.62500,19.00,19.00,,,,,,,2026-09-07
142.21900,45.62500,18.00,18.00,,,,,,,2026-09-07
142.28100,45.62500,18.00,18.00,,,,,,,2026-09-07
142.34400,45.62500,17.00,17.00,,,,,,,2026-09-07
142.40600,45.62500,17.00,17.00,,,,,,,2026-09-07
142.46900,45.62500,17.00,17.00,,,,,,,2026-09-07
