longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,+3.95,,23.66,19.71,+3.95,23.89,-0.24,2026-09-18,2026-09-18
141.46900,45.87500,+3.92,,23.62,19.70,+3.92,23.88,-0.26,2026-09-18,2026-09-18
141.53100,45.87500,+3.89,,23.59,19.69,+3.89,23.87,-0.29,2026-09-18,2026-09-18
141.59400,45.87500,+3.86,,23.54,19.68,+3.86,23.86,-0.32,2026-09-18,2026-09-18
141.65600,45.87500,+3.82,,23.49,19.67,+3.82,23.84,-0.35,2026-09-18,2026-09-18
141.71900,45.87500,+3.78,,23.44,19.66,+3.78,23.83,-0.39,2026-09-18,2026-09-18
141.78100,45.87500,+3.74,,23.38,19.64,+3.74,23.81,-0.42,2026-09-18,2026-09-18
141.84400,45.87500,+3.70,,23.33,19.63,+3.70,23.79,-0.46,2026-09-18,2026-09-18
141.90600,45.87500,+3.67,,23.29,19.62,+3.67,23.78,-0.49,2026-09-18,2026-09-18
141.96900,45.87500,+3.65,,23.26,19.61,+3.65,23.77,-0.51,2026-09-18,2026-09-18
142.03100,45.87500,+3.63,,23.24,19.61,+3.63,23.76,-0.52,2026-09-18,2026-09-18
142.09400,45.87500,+2.94,,22.45,19.51,+2.94,23.98,-1.52,2026-09-18,2026-09-18
142.15600,45.87500,+2.92,,22.43,19.51,+2.92,23.99,-1.56,2026-09-18,2026-09-18
142.21900,45.87500,+2.90,,22.41,19.51,+2.90,24.01,-1.61,2026-09-18,2026-09-18
142.28100,45.87500,+2.88,,22.39,19.51,+2.88,24.03,-1.65,2026-09-18,2026-09-18
142.34400,45.87500,+2.86,,22.37,19.51,+2.86,24.06,-1.69,2026-09-18,2026-09-18
141.40600,45.82500,+3.97,,23.68,19.71,+3.97,23.90,-0.22,2026-09-18,2026-09-18
141.46900,45.82500,+3.94,,23.65,19.71,+3.94,23.89,-0.24,2026-09-18,2026-09-18
141.53100,45.82500,+3.91,,23.60,19.69,+3.91,23.88,-0.27,2026-09-18,2026-09-18
141.59400,45.82500,+3.87,,23.55,19.68,+3.87,23.86,-0.31,2026-09-18,2026-09-18
141.65600,45.82500,+3.82,,23.49,19.67,+3.82,23.84,-0.35,2026-09-18,2026-09-18
141.71900,45.82500,+3.77,,23.42,19.65,+3.77,23.82,-0.40,2026-09-18,2026-09-18
141.78100,45.82500,+3.72,,23.35,19.63,+3.72,23.80,-0.45,2026-09-18,2026-09-18
141.84400,45.82500,+3.67,,23.28,19.62,+3.67,23.77,-0.49,2026-09-18,2026-09-18
141.90600,45.82500,+3.62,,23.23,19.60,+3.62,23.76,-0.53,2026-09-18,2026-09-18
141.96900,45.82500,+3.60,,23.19,19.59,+3.60,23.74,-0.55,2026-09-18,2026-09-18
142.03100,45.82500,+3.58,,23.17,19.59,+3.58,23.74,-0.57,2026-09-18,2026-09-18
142.09400,45.82500,+2.92,,22.42,19.50,+2.92,23.94,-1.52,2026-09-18,2026-09-18
142.15600,45.82500,+2.90,,22.40,19.50,+2.90,23.97,-1.57,2026-09-18,2026-09-18
142.21900,45.82500,+2.88,,22.37,19.50,+2.88,23.99,-1.62,2026-09-18,2026-09-18
142.28100,45.82500,+2.86,,22.35,19.50,+2.86,24.02,-1.67,2026-09-18,2026-09-18
142.34400,45.82500,+2.84,,22.34,19.50,+2.84,24.05,-1.72,2026-09-18,2026-09-18
141.40600,45.77500,+4.00,,23.72,19.72,+4.00,23.91,-0.19,2026-09-18,2026-09-18
141.46900,45.77500,+3.97,,23.68,19.71,+3.97,23.90,-0.22,2026-09-18,2026-09-18
141.53100,45.77500,+3.93,,23.63,19.70,+3.93,23.88,-0.25,2026-09-18,2026-09-18
141.59400,45.77500,+3.88,,23.57,19.68,+3.88,23.86,-0.29,2026-09-18,2026-09-18
141.65600,45.77500,+3.82,,23.49,19.67,+3.82,23.84,-0.35,2026-09-18,2026-09-18
141.71900,45.77500,+3.76,,23.40,19.64,+3.76,23.81,-0.41,2026-09-18,2026-09-18
141.78100,45.77500,+3.69,,23.31,19.62,+3.69,23.78,-0.47,2026-09-18,2026-09-18
141.84400,45.77500,+3.62,,23.22,19.60,+3.62,23.75,-0.53,2026-09-18,2026-09-18
141.90600,45.77500,+3.56,,23.14,19.58,+3.56,23.73,-0.58,2026-09-18,2026-09-18
141.96900,45.77500,+3.53,,23.10,19.57,+3.53,23.71,-0.61,2026-09-18,2026-09-18
142.03100,45.77500,+3.51,,23.07,19.56,+3.51,23.70,-0.63,2026-09-18,2026-09-18
142.09400,45.77500,+2.90,,22.38,19.48,+2.90,23.90,-1.52,2026-09-18,2026-09-18
142.15600,45.77500,+2.88,,22.36,19.48,+2.88,23.94,-1.58,2026-09-18,2026-09-18
142.21900,45.77500,+2.85,,22.33,19.48,+2.85,23.98,-1.64,2026-09-18,2026-09-18
142.28100,45.77500,+2.83,,22.31,19.49,+2.83,24.01,-1.70,2026-09-18,2026-09-18
142.34400,45.77500,+2.81,,22.30,19.49,+2.81,24.05,-1.75,2026-09-18,2026-09-18
141.40600,45.72500,+4.03,,23.76,19.73,+4.03,23.92,-0.16,2026-09-18,2026-09-18
141.46900,45.72500,+4.00,,23.72,19.72,+4.00,23.91,-0.18,2026-09-18,2026-09-18
141.53100,45.72500,+3.97,,23.67,19.71,+3.97,23.89,-0.22,2026-09-18,2026-09-18
141.59400,45.72500,+3.91,,23.60,19.69,+3.91,23.87,-0.27,2026-09-18,2026-09-18
141.65600,45.72500,+3.84,,23.51,19.67,+3.84,23.84,-0.33,2026-09-18,2026-09-18
141.71900,45.72500,+3.75,,23.39,19.64,+3.75,23.80,-0.41,2026-09-18,2026-09-18
141.78100,45.72500,+3.65,,23.26,19.61,+3.65,23.76,-0.50,2026-09-18,2026-09-18
141.84400,45.72500,+3.56,,23.13,19.58,+3.56,23.72,-0.59,2026-09-18,2026-09-18
141.90600,45.72500,+3.48,,23.03,19.55,+3.48,23.68,-0.65,2026-09-18,2026-09-18
141.96900,45.72500,+3.43,,22.97,19.53,+3.43,23.66,-0.69,2026-09-18,2026-09-18
142.03100,45.72500,+3.42,,22.95,19.53,+3.42,23.66,-0.71,2026-09-18,2026-09-18
142.09400,45.72500,+2.87,,22.33,19.46,+2.87,23.86,-1.52,2026-09-18,2026-09-18
142.15600,45.72500,+2.85,,22.31,19.46,+2.85,23.91,-1.59,2026-09-18,2026-09-18
142.21900,45.72500,+2.82,,22.29,19.47,+2.82,23.96,-1.67,2026-09-18,2026-09-18
142.28100,45.72500,+2.79,,22.27,19.47,+2.79,24.01,-1.74,2026-09-18,2026-09-18
142.34400,45.72500,+2.77,,22.25,19.48,+2.77,24.05,-1.80,2026-09-18,2026-09-18
140.65600,45.67500,+2.96,,23.16,20.20,+2.96,23.58,-0.42,2026-09-18,2026-09-18
140.71900,45.67500,+2.95,,23.15,20.20,+2.95,23.58,-0.42,2026-09-18,2026-09-18
140.78100,45.67500,+2.95,,23.15,20.20,+2.95,23.58,-0.43,2026-09-18,2026-09-18
140.84400,45.67500,+2.94,,23.15,20.20,+2.94,23.58,-0.43,2026-09-18,2026-09-18
140.90600,45.67500,+2.94,,23.14,20.21,+2.94,23.58,-0.44,2026-09-18,2026-09-18
140.96900,45.67500,+2.94,,23.14,20.21,+2.94,23.58,-0.44,2026-09-18,2026-09-18
141.03100,45.67500,+2.94,,23.15,20.21,+2.94,23.59,-0.44,2026-09-18,2026-09-18
141.09400,45.67500,+3.16,,23.26,20.10,+3.16,23.65,-0.39,2026-09-18,2026-09-18
141.15600,45.67500,+3.23,,23.31,20.09,+3.23,23.67,-0.36,2026-09-18,2026-09-18
141.21900,45.67500,+3.31,,23.38,20.06,+3.31,23.69,-0.31,2026-09-18,2026-09-18
141.28100,45.67500,+3.41,,23.45,20.04,+3.41,23.71,-0.26,2026-09-18,2026-09-18
141.34400,45.67500,+4.03,,24.05,20.02,+4.03,23.89,+0.15,2026-09-18,2026-09-18
141.40600,45.67500,+4.08,,23.81,19.74,+4.08,23.93,-0.11,2026-09-18,2026-09-18
141.46900,45.67500,+4.05,,23.79,19.73,+4.05,23.92,-0.13,2026-09-18,2026-09-18
141.53100,45.67500,+4.02,,23.74,19.72,+4.02,23.91,-0.17,2026-09-18,2026-09-18
141.59400,45.67500,+3.96,,23.66,19.70,+3.96,23.88,-0.22,2026-09-18,2026-09-18
141.65600,45.67500,+3.87,,23.55,19.68,+3.87,23.85,-0.30,2026-09-18,2026-09-18
141.71900,45.67500,+3.76,,23.40,19.64,+3.76,23.80,-0.41,2026-09-18,2026-09-18
141.78100,45.67500,+3.62,,23.21,19.60,+3.62,23.74,-0.53,2026-09-18,2026-09-18
141.84400,45.67500,+3.47,,23.02,19.54,+3.47,23.68,-0.66,2026-09-18,2026-09-18
141.90600,45.67500,+3.36,,22.86,19.50,+3.36,23.62,-0.76,2026-09-18,2026-09-18
141.96900,45.67500,+3.30,,22.79,19.49,+3.30,23.60,-0.81,2026-09-18,2026-09-18
142.03100,45.67500,+2.87,,22.29,19.43,+2.87,23.74,-1.44,2026-09-18,2026-09-18
142.09400,45.67500,+2.84,,22.27,19.43,+2.84,23.80,-1.53,2026-09-18,2026-09-18
142.15600,45.67500,+2.81,,22.26,19.45,+2.81,23.88,-1.62,2026-09-18,2026-09-18
142.21900,45.67500,+2.78,,22.24,19.46,+2.78,23.95,-1.71,2026-09-18,2026-09-18
