longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,+2.00,,13.66,11.66,+2.00,13.05,+0.61,2026-09-21,2026-09-21
141.46900,45.87500,+1.98,,13.66,11.68,+1.98,13.04,+0.62,2026-09-21,2026-09-21
141.53100,45.87500,+1.97,,13.66,11.69,+1.97,13.02,+0.64,2026-09-21,2026-09-21
141.59400,45.87500,+1.96,,13.65,11.69,+1.96,13.00,+0.65,2026-09-21,2026-09-21
141.65600,45.87500,+1.97,,13.64,11.68,+1.97,12.98,+0.67,2026-09-21,2026-09-21
141.71900,45.87500,+1.98,,13.64,11.66,+1.98,12.96,+0.68,2026-09-21,2026-09-21
141.78100,45.87500,+2.00,,13.63,11.63,+2.00,12.93,+0.70,2026-09-21,2026-09-21
141.84400,45.87500,+2.15,,13.63,11.48,+2.15,12.91,+0.72,2026-09-21,2026-09-21
141.90600,45.87500,+2.20,,13.63,11.42,+2.20,12.90,+0.73,2026-09-21,2026-09-21
141.96900,45.87500,+2.27,,13.62,11.35,+2.27,12.88,+0.74,2026-09-21,2026-09-21
142.03100,45.87500,+2.35,,13.61,11.27,+2.35,12.87,+0.75,2026-09-21,2026-09-21
142.09400,45.87500,+1.56,,12.73,11.17,+1.56,12.46,+0.28,2026-09-21,2026-09-21
142.15600,45.87500,+1.64,,12.71,11.07,+1.64,12.48,+0.24,2026-09-21,2026-09-21
142.21900,45.87500,+1.72,,12.69,10.97,+1.72,12.49,+0.19,2026-09-21,2026-09-21
142.28100,45.87500,+1.79,,12.66,10.86,+1.79,12.51,+0.15,2026-09-21,2026-09-21
142.34400,45.87500,+1.87,,12.63,10.75,+1.87,12.52,+0.10,2026-09-21,2026-09-21
141.40600,45.82500,+1.95,,13.68,11.74,+1.95,13.08,+0.60,2026-09-21,2026-09-21
141.46900,45.82500,+1.92,,13.68,11.76,+1.92,13.06,+0.62,2026-09-21,2026-09-21
141.53100,45.82500,+1.90,,13.67,11.77,+1.90,13.04,+0.63,2026-09-21,2026-09-21
141.59400,45.82500,+1.89,,13.67,11.77,+1.89,13.02,+0.65,2026-09-21,2026-09-21
141.65600,45.82500,+1.89,,13.66,11.77,+1.89,12.99,+0.67,2026-09-21,2026-09-21
