amedas_id,name,longitude,latitude,elevation_m,observed_at,temperature_c,temperature_quality,precipitation_1h_mm,precipitation_1h_quality,wind_speed_ms,wind_speed_quality,wind_direction_code,wind_direction_deg,wind_direction_quality
11001,宗谷岬,141.935,45.52,26,2026-09-07T07:00:00+09:00,17.3,0,0.0,0,6.2,0,9.0,202.5,0
11016,稚内,141.678333,45.415,3,2026-09-07T07:00:00+09:00,17.6,0,0.0,0,3.1,0,7.0,157.5,0
11046,礼文,141.045,45.305,65,2026-09-07T07:00:00+09:00,19.9,0,0.0,0,6.1,0,10.0,225.0,0
11061,声問,141.801667,45.403333,8,2026-09-07T07:00:00+09:00,15.5,0,0.0,0,4.3,0,7.0,157.5,0
11076,浜鬼志別,142.17,45.335,13,2026-09-07T07:00:00+09:00,14.4,0,0.0,0,2.3,0,9.0,202.5,0
11091,本泊,141.186667,45.241667,30,2026-09-07T07:00:00+09:00,19.7,0,0.0,0,7.4,0,9.0,202.5,0
11121,沼川,141.851667,45.248333,23,2026-09-07T07:00:00+09:00,13.8,0,0.0,0,1.6,0,4.0,90.0,0
11151,沓形,141.138333,45.178333,14,2026-09-07T07:00:00+09:00,20.3,0,0.0,0,7.3,0,8.0,180.0,0
11176,豊富,141.78,45.101667,14,2026-09-07T07:00:00+09:00,15.0,0,0.0,0,2.5,0,5.0,112.5,0
11206,浜頓別,142.35,45.125,18,2026-09-07T07:00:00+09:00,16.0,0,0.0,0,2.5,0,9.0,202.5,0
11276,中頓別,142.28,44.965,25,2026-09-07T07:00:00+09:00,11.8,0,0.0,0,1.2,0,11.0,247.5,0
11291,北見枝幸,142.585,44.94,7,2026-09-07T07:00:00+09:00,18.1,0,0.0,0,2.7,0,11.0,247.5,0
11316,歌登,142.48,44.841667,14,2026-09-07T07:00:00+09:00,10.4,0,0.0,0,0.7,0,10.0,225.0,0
12011,中川,142.076667,44.828333,22,2026-09-07T07:00:00+09:00,12.1,0,0.0,0,0.3,0,7.0,157.5,0
12041,音威子府,142.265,44.726667,40,2026-09-07T07:00:00+09:00,12.5,0,0.0,0,3.2,0,8.0,180.0,0
12066,小車,142.295,44.608333,60,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
12141,美深,142.341667,44.48,77,2026-09-07T07:00:00+09:00,11.8,0,0.0,0,1.1,0,7.0,157.5,0
12181,名寄,142.456667,44.37,89,2026-09-07T07:00:00+09:00,11.0,0,0.0,0,1.0,0,8.0,180.0,0
12217,西風連,142.358333,44.295,128,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
12231,下川,142.636667,44.295,143,2026-09-07T07:00:00+09:00,11.1,0,0.0,0,0.5,0,3.0,67.5,0
12256,剣淵,142.353333,44.106667,138,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
12261,士別,142.416667,44.186667,135,2026-09-07T07:00:00+09:00,11.1,0,0.0,0,1.1,0,13.0,292.5,0
12266,朝日,142.595,44.118333,225,2026-09-07T07:00:00+09:00,11.7,0,0.0,0,1.9,0,5.0,112.5,0
12301,和寒,142.41,44.028333,150,2026-09-07T07:00:00+09:00,9.4,0,0.0,0,0.9,0,15.0,337.5,0
12386,江丹別,142.26,43.87,140,2026-09-07T07:00:00+09:00,9.6,0,0.0,0,0.3,0,6.0,135.0,0
12396,比布,142.47,43.87,164,2026-09-07T07:00:00+09:00,11.8,0,0.0,0,1.1,0,16.0,0.0,0
12411,上川,142.753333,43.846667,324,2026-09-07T07:00:00+09:00,9.4,0,0.0,0,0.5,0,16.0,0.0,0
12442,旭川,142.371667,43.756667,120,2026-09-07T07:00:00+09:00,11.6,0,0.0,0,0.5,0,1.0,22.5,0
12451,東川,142.508333,43.701667,215,2026-09-07T07:00:00+09:00,11.9,0,0.0,0,2.1,0,5.0,112.5,0
12457,瑞穂,142.638333,43.736667,289,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
12471,層雲峡,142.93,43.753333,540,2026-09-07T07:00:00+09:00,,,0.0,0,,,,,
12501,東神楽,142.446667,43.67,211,2026-09-07T07:00:00+09:00,10.3,0,0.0,0,0.3,0,15.0,337.5,0
