longitude,latitude,display_c,forecast_c,observed_c,average_c,anomaly_c,previous_day_c,previous_diff_c,source_date,target_date
141.40600,45.87500,16.87,,16.87,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.46900,45.87500,16.87,,16.87,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.53100,45.87500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.59400,45.87500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.65600,45.87500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.71900,45.87500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.78100,45.87500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.84400,45.87500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.90600,45.87500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.96900,45.87500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.03100,45.87500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.09400,45.87500,16.14,,16.14,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.15600,45.87500,16.10,,16.10,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.21900,45.87500,16.06,,16.06,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.28100,45.87500,16.01,,16.01,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.34400,45.87500,15.97,,15.97,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.40600,45.82500,16.87,,16.87,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.46900,45.82500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.53100,45.82500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.59400,45.82500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.65600,45.82500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.71900,45.82500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.78100,45.82500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.84400,45.82500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.90600,45.82500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.96900,45.82500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.03100,45.82500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.09400,45.82500,16.19,,16.19,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.15600,45.82500,16.14,,16.14,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.21900,45.82500,16.08,,16.08,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.28100,45.82500,16.02,,16.02,,,,,2026-09-07,2026-09-07T07:00:00+09:00
142.34400,45.82500,15.97,,15.97,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.40600,45.77500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.46900,45.77500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.53100,45.77500,16.88,,16.88,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.59400,45.77500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.65600,45.77500,16.89,,16.89,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.71900,45.77500,16.90,,16.90,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.78100,45.77500,16.91,,16.91,,,,,2026-09-07,2026-09-07T07:00:00+09:00
141.84400,45.77500,16.92,,16.92,,,,,2026-09-07,2026-09-07T07:00:00+09:00
